"N_EFF_Scenario","Rt","CFR_Crisis","VSL","Economic_Loss_BUSD"
2500000,1.9,0.75,1,461.66447368421
2500000,1.9,0.75,3,1384.99342105263
2500000,1.9,0.75,5,2308.32236842105
2500000,1.9,0.8,1,490.263157894737
2500000,1.9,0.8,3,1470.78947368421
2500000,1.9,0.8,5,2451.31578947368
2500000,1.9,0.85,1,518.861842105263
2500000,1.9,0.85,3,1556.58552631579
2500000,1.9,0.85,5,2594.30921052632
2500000,2.3,0.5,1,380.25
2500000,2.3,0.5,3,1140.75
2500000,2.3,0.5,5,1901.25
2500000,2.3,0.55,1,414.375
2500000,2.3,0.55,3,1243.125
2500000,2.3,0.55,5,2071.875
2500000,2.3,0.6,1,448.5
2500000,2.3,0.6,3,1345.5
2500000,2.3,0.6,5,2242.5
2500000,2.3,0.65,1,482.625
2500000,2.3,0.65,3,1447.875
2500000,2.3,0.65,5,2413.125
2500000,2.3,0.7,1,516.75
2500000,2.3,0.7,3,1550.25
2500000,2.3,0.7,5,2583.75
2500000,2.3,0.75,1,550.875
2500000,2.3,0.75,3,1652.625
2500000,2.3,0.75,5,2754.375
2500000,2.3,0.8,1,585
2500000,2.3,0.8,3,1755
2500000,2.3,0.8,5,2925
2500000,2.3,0.85,1,619.125
2500000,2.3,0.85,3,1857.375
2500000,2.3,0.85,5,3095.625
2500000,2.7,0.5,1,423.583333333333
2500000,2.7,0.5,3,1270.75
2500000,2.7,0.5,5,2117.91666666667
2500000,2.7,0.55,1,461.597222222222
2500000,2.7,0.55,3,1384.79166666667
2500000,2.7,0.55,5,2307.98611111111
2500000,2.7,0.6,1,499.611111111111
2500000,2.7,0.6,3,1498.83333333333
2500000,2.7,0.6,5,2498.05555555556
2500000,2.7,0.65,1,537.625
2500000,2.7,0.65,3,1612.875
2500000,2.7,0.65,5,2688.125
2500000,2.7,0.7,1,575.638888888889
2500000,2.7,0.7,3,1726.91666666667
2500000,2.7,0.7,5,2878.19444444444
2500000,2.7,0.75,1,613.652777777778
2500000,2.7,0.75,3,1840.95833333333
2500000,2.7,0.75,5,3068.26388888889
2500000,2.7,0.8,1,651.666666666667
2500000,2.7,0.8,3,1955
2500000,2.7,0.8,5,3258.33333333333
2500000,2.7,0.85,1,689.680555555556
2500000,2.7,0.85,3,2069.04166666667
2500000,2.7,0.85,5,3448.40277777778
2500000,3.1,0.5,1,455.733870967742
2500000,3.1,0.5,3,1367.20161290323
2500000,3.1,0.5,5,2278.66935483871
2500000,3.1,0.55,1,496.633064516129
2500000,3.1,0.55,3,1489.89919354839
2500000,3.1,0.55,5,2483.16532258065
2500000,3.1,0.6,1,537.532258064516
2500000,3.1,0.6,3,1612.59677419355
2500000,3.1,0.6,5,2687.66129032258
2500000,3.1,0.65,1,578.431451612903
2500000,3.1,0.65,3,1735.29435483871
2500000,3.1,0.65,5,2892.15725806452
2500000,3.1,0.7,1,619.33064516129
2500000,3.1,0.7,3,1857.99193548387
2500000,3.1,0.7,5,3096.65322580645
2500000,3.1,0.75,1,660.229838709677
2500000,3.1,0.75,3,1980.68951612903
2500000,3.1,0.75,5,3301.14919354839
2500000,3.1,0.8,1,701.129032258065
2500000,3.1,0.8,3,2103.38709677419
2500000,3.1,0.8,5,3505.64516129032
2500000,3.1,0.85,1,742.028225806452
2500000,3.1,0.85,3,2226.08467741936
2500000,3.1,0.85,5,3710.14112903226
2500000,3.5,0.5,1,480.535714285714
2500000,3.5,0.5,3,1441.60714285714
2500000,3.5,0.5,5,2402.67857142857
2500000,3.5,0.55,1,523.660714285714
2500000,3.5,0.55,3,1570.98214285714
2500000,3.5,0.55,5,2618.30357142857
2500000,3.5,0.6,1,566.785714285714
2500000,3.5,0.6,3,1700.35714285714
2500000,3.5,0.6,5,2833.92857142857
2500000,3.5,0.65,1,609.910714285714
2500000,3.5,0.65,3,1829.73214285714
2500000,3.5,0.65,5,3049.55357142857
2500000,3.5,0.7,1,653.035714285714
2500000,3.5,0.7,3,1959.10714285714
2500000,3.5,0.7,5,3265.17857142857
2500000,3.5,0.75,1,696.160714285714
2500000,3.5,0.75,3,2088.48214285714
2500000,3.5,0.75,5,3480.80357142857
2500000,3.5,0.8,1,739.285714285714
2500000,3.5,0.8,3,2217.85714285714
2500000,3.5,0.8,5,3696.42857142857
2500000,3.5,0.85,1,782.410714285714
2500000,3.5,0.85,3,2347.23214285714
2500000,3.5,0.85,5,3912.05357142857
5e+06,1.1,0.5,1,122.318181818182
5e+06,1.1,0.5,3,366.954545454546
5e+06,1.1,0.5,5,611.590909090909
5e+06,1.1,0.55,1,133.295454545455
5e+06,1.1,0.55,3,399.886363636364
5e+06,1.1,0.55,5,666.477272727273
5e+06,1.1,0.6,1,144.272727272727
5e+06,1.1,0.6,3,432.818181818182
5e+06,1.1,0.6,5,721.363636363637
5e+06,1.1,0.65,1,155.25
5e+06,1.1,0.65,3,465.75
5e+06,1.1,0.65,5,776.25
5e+06,1.1,0.7,1,166.227272727273
5e+06,1.1,0.7,3,498.681818181818
5e+06,1.1,0.7,5,831.136363636364
5e+06,1.1,0.75,1,177.204545454546
5e+06,1.1,0.75,3,531.613636363637
5e+06,1.1,0.75,5,886.022727272728
5e+06,1.1,0.8,1,188.181818181818
5e+06,1.1,0.8,3,564.545454545455
5e+06,1.1,0.8,5,940.909090909091
5e+06,1.1,0.85,1,199.159090909091
5e+06,1.1,0.85,3,597.477272727273
5e+06,1.1,0.85,5,995.795454545455
5e+06,1.5,0.5,1,448.5
5e+06,1.5,0.5,3,1345.5
5e+06,1.5,0.5,5,2242.5
5e+06,1.5,0.55,1,488.75
5e+06,1.5,0.55,3,1466.25
5e+06,1.5,0.55,5,2443.75
5e+06,1.5,0.6,1,529
5e+06,1.5,0.6,3,1587
5e+06,1.5,0.6,5,2645
5e+06,1.5,0.65,1,569.25
5e+06,1.5,0.65,3,1707.75
5e+06,1.5,0.65,5,2846.25
5e+06,1.5,0.7,1,609.5
5e+06,1.5,0.7,3,1828.5
5e+06,1.5,0.7,5,3047.5
5e+06,1.5,0.75,1,649.75
5e+06,1.5,0.75,3,1949.25
5e+06,1.5,0.75,5,3248.75
5e+06,1.5,0.8,1,690
5e+06,1.5,0.8,3,2070
5e+06,1.5,0.8,5,3450
5e+06,1.5,0.85,1,730.25
5e+06,1.5,0.85,3,2190.75
5e+06,1.5,0.85,5,3651.25
5e+06,1.9,0.5,1,637.342105263158
5e+06,1.9,0.5,3,1912.02631578947
5e+06,1.9,0.5,5,3186.71052631579
5e+06,1.9,0.55,1,694.53947368421
